Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent
venda de fotografias,140,36,"0,06","0,46",689000000,"Informational, Commercial"
venda de frango,140,12,"0,14","0,14",18100000,Commercial
venda de gado rs,140,12,0,"0,03",92,Commercial
venda de gaiolas,140,29,"0,03","0,99",97,Commercial
venda de galinha caipira,140,29,"0,05","0,36",88,Transactional
venda de galinha caipira limpa,140,19,"0,09","0,06",54,Transactional
venda de galinhas em campinas,140,21,"0,01","0,36",1360000,Commercial
venda de garagem centro divinópolis,140,21,"0,05","0,06",62,Commercial
venda de geladeira usada no df,140,28,"0,04","0,23",79,Commercial
venda de golden retriever,140,9,"0,09","0,46",65,Commercial
venda de guarda roupa,140,34,"0,1",1,89,Commercial
venda de imoveis rio de janeiro,140,42,"0,3","0,63",23300000,Commercial
venda de impressoras,140,34,"0,39",1,8190000,Commercial
venda de imóveis rj,140,39,"0,22","0,49",23300000,Commercial
venda de ingressos gremio,140,14,0,0,1230000,Commercial
venda de ingressos sao paulo,140,16,"0,17","0,06",20100000,Commercial
venda de instagram,140,30,"0,12","0,63",224000000,"Informational, Commercial"
venda de isopor,140,19,"0,13","0,99",3010000,Commercial
venda de jalecos,140,22,"0,11",1,228000,Commercial
venda de joias usadas,140,7,"0,23",1,369000,Commercial
venda de kitnet na praia grande,140,10,"0,06","0,6",4960000,Commercial
venda de lata,140,11,"0,18","0,43",27300000,"Informational, Commercial"
venda de lenha,140,21,"0,12","0,9",7780000,Commercial
venda de madeiras,140,16,"0,18","0,92",11900000,Commercial
venda de manequim usado,140,29,"0,04","0,98",60,Commercial
venda de manequins usados,140,23,"0,04","0,98",50,Commercial
venda de maquinas agricolas,140,32,"0,22","0,59",8850000,Commercial
venda de maquinas usadas,140,11,"0,15","0,56",3340000,Commercial
venda de marmitex mais próximo,140,14,"0,23","0,31",182000,Commercial
venda de materiais eletricos,140,32,"0,33","0,55",22200000,Commercial
venda de materiais elétricos,140,33,"0,33","0,55",12400000,Commercial
venda de material de construção usado,140,7,"0,07","0,17",113000000,Commercial
venda de mdf,140,12,"0,11","0,93",91,Transactional
venda de mel,140,23,"0,11",1,21400000,Transactional
venda de microondas,140,30,"0,07",1,94,Transactional
venda de microondas usado,140,29,"0,04",1,80,Commercial
venda de motores automotivos usados,140,18,"0,1","0,74",90,Commercial
venda de motorhome usados,140,17,"0,03","0,34",92,Commercial
venda de motos de leilão,140,29,"0,15","0,58",7910000,Commercial
venda de motos em manaus,140,26,"0,11","0,38",2090000,Commercial
venda de motos usadas em belém,140,24,"0,04","0,13",99,Commercial
venda de moveis antigos,140,8,"0,08",1,690000,Commercial
venda de mudas,140,21,"0,12","0,9",9260000,Commercial
venda de máquinas agrícolas,140,33,"0,22","0,59",19300000,Commercial
venda de móveis usados são paulo,140,33,"0,12","0,69",15300000,Commercial
venda de negócios,140,24,"0,22","0,66",80600000,Commercial
venda de notebooks usados,140,34,"0,15",1,1910000,Commercial
venda de oleo lubrificante,140,19,"0,36","0,47",5940000,Commercial
venda de onibus gontijo,140,20,"0,04","0,14",60,Commercial
venda de onibus usado,140,14,"0,02","0,33",576000,Commercial
venda de pallets usados,140,12,"0,24","0,98",1330000,Commercial
venda de papelão,140,5,"0,19","0,91",9480000,Commercial
venda de passagem guanabara,140,22,"0,09","0,36",86,"Informational, Transactional"
venda de passagens guanabara,140,38,"0,09","0,36",93,"Informational, Transactional"
venda de pastor alemão,140,14,"0,03","0,36",84,Commercial
venda de pavão,140,8,"0,03","0,3",98,"Informational, Transactional"
venda de pecas,140,32,"0,16","0,39",25000000,Commercial
venda de pedras,140,22,"0,18","0,89",16800000,Commercial
venda de pedras naturais,140,23,"0,12",1,4460000,Commercial
venda de pedras preciosas,140,10,"0,17",1,7650000,Commercial
venda de peixe vivo,140,28,"0,08","0,3",12800000,Transactional
venda de pets,140,28,"0,12","0,52",29000000,Commercial
venda de peças electrolux,140,12,"0,16","0,6",2670000,Commercial
venda de pinscher em manaus,140,19,0,"0,01",46,Commercial
venda de pintos,140,23,"0,02","0,2",1690000,Transactional
venda de pitbull,140,20,"0,05","0,24",61,Commercial
venda de placa solar,140,27,"0,52",1,7670000,Transactional
venda de plantas perto de mim,140,29,"0,12","0,78",3730000,Transactional
venda de plastico bolha,140,40,"0,25","0,79",1270000,Commercial
venda de pneus em fortaleza,140,8,"0,23","0,95",8430000,Commercial
venda de pornografia,140,27,"0,06","0,05",22300000,Commercial
venda de portão usado,140,5,"0,05","0,18",85,Commercial
venda de posto de gasolina,140,0,"0,16","0,44",10700000,Commercial
venda de produtos usado olx são gonçalo rj,140,28,0,"0,01",39,"Navigational, Transactional"
venda de produtos usados,140,24,"0,11","0,42",42200000,Commercial
venda de pula pula,140,30,"0,07",1,62,Commercial
venda de pássaros,140,7,"0,04","0,28",8940000,Commercial
venda de quadriciclo,140,26,"0,13",1,94,Commercial
venda de relogios usados,140,14,"0,35",1,25700000,Commercial
venda de rifa,140,21,"0,07","0,66",1490000,Commercial
venda de rottweiler,140,12,"0,05","0,33",65,Commercial
venda de roupa infantil atacado,140,14,"0,11",1,5390000,Commercial
venda de salgado congelado,140,8,"0,16","0,58",802000,Commercial
venda de salgados congelados,140,15,"0,16","0,58",10500000,Commercial
venda de salgados para festa,140,15,"0,14","0,24",4530000,Commercial
venda de sandalias,140,22,"0,12","0,98",18800000,Commercial
venda de sapatos,140,45,"0,09",1,15800000,Commercial
venda de seminovos,140,71,"0,34","0,53",28400000,Commercial
venda de seu biu olinda,140,25,0,0,59,"Informational, Transactional"
venda de site,140,30,"0,74","0,65",652000000,Commercial
venda de sitio,140,21,"0,05","0,43",73400000,Commercial
venda de skins,140,48,"0,11","0,54",18300000,Commercial
venda de skins csgo,140,49,"0,17","0,73",92,Commercial
venda de sofas,140,48,"0,1",1,35000000,Commercial
venda de som automotivo,140,29,"0,07",1,84,Commercial
venda de sítios,140,23,"0,05","0,43",188000000,Commercial
venda de taxis usados rj,140,19,"0,17","0,22",79,"Navigational, Transactional"
venda de tcc,140,28,"0,79","0,72",9510000,"Informational, Commercial"
venda de televisao usada,140,30,"0,04","0,72",65,Transactional
venda de televisões usadas,140,30,"0,04","0,72",60,"Informational, Transactional"
venda de ternos,140,19,"0,14",1,1560000,Commercial
venda de ticket,140,23,"0,36","0,1",13700000,Commercial
venda de ticket alimentação,140,24,"0,66","0,27",778000,Commercial
venda de tijolinho,140,21,"0,13","0,73",12800000,Commercial
venda de tijolos direto da fabrica,140,11,"0,16","0,64",69,Commercial
venda de toldos,140,28,"0,26",1,2760000,Transactional
venda de tv usada,140,31,"0,04","0,72",82,"Informational, Transactional"
venda de tênis,140,36,"0,12",1,39600000,Commercial
venda de uniforme escolar,140,7,"0,2","0,45",3280000,Commercial
venda de uniformes,140,15,"0,19","0,85",10300000,Transactional
venda de uniformes escolares,140,15,"0,11","0,53",2520000,Commercial
venda de vasos de barro atacado,140,27,"0,06","0,99",99,Commercial
venda de veleiros,140,8,"0,05","0,52",70,Commercial
venda de ventilador,140,28,"0,14",1,14200000,Commercial
venda de vestido de festa usado,140,12,"0,07",1,65,Commercial
venda de vestidos de festa usados,140,19,"0,07",1,83,Commercial
venda de veículos seminovos,140,71,"0,24","0,52",10600000,Commercial
venda de videogame,140,33,"0,07",1,27000000,Commercial
venda de violão,140,34,"0,06",1,93,Commercial
venda de óleo de motor usado,140,11,"0,24","0,27",11400000,Commercial
venda de ônibus usados,140,12,"0,02","0,33",9820000,Commercial
venda de.,140,52,"2,26","0,02",935000000,Commercial
venda digital detran,140,30,0,0,89,Commercial
venda digital.banco honda,140,16,0,0,70,"Informational, Commercial"
venda direta caixa econômica federal,140,36,"0,54","0,01",99,Transactional
venda direta hyundai,140,10,"0,82","0,59",454000,Commercial
venda direta imóvel,140,19,"0,13","0,53",5870000,Commercial
venda direta renault,140,15,"4,12","0,55",572000,Transactional
venda do biquini,140,35,0,"0,01",7720000,Transactional
venda do biquíni,140,13,0,"0,01",5000000,"Informational, Transactional"
venda dolar hoje,140,55,"0,1","0,29",98,Transactional
venda e cia dropshipping,140,29,"0,97","0,63",67,Transactional
venda e cia dropshipping reclame aqui,140,28,"0,33","0,35",54,"Navigational, Transactional"
venda e instalação de concertina,140,6,"0,62",1,905000,Commercial
venda e locação,140,34,0,"0,1",27000000,Commercial
venda empresas,140,27,"0,41","0,64",266000000,Commercial
venda figurinhas da copa,140,23,0,1,1510000,Transactional
venda filhote de cachorro,140,29,"0,07","0,38",97,Commercial
venda filhotes,140,19,"0,08","0,25",6300000,Commercial
venda forro pvc,140,26,"0,2","0,96",19100000,Transactional
venda fotografias e vídeos,140,29,"0,08","0,59",11600000,Commercial
venda geladeira usada,140,27,"0,1","0,32",72,Commercial
venda grama,140,7,"0,33","0,87",17700000,Transactional
venda imoveis caixa gov br,140,37,"0,25","0,06",64,"Navigational, Transactional"
venda ingressos atletico,140,20,0,0,98,Commercial
venda ingressos cruzeiro,140,20,"0,28",0,88,Transactional
venda ingressos f1 2023,140,18,"0,22","0,39",90,Commercial
venda iphone 8 plus,140,23,"0,04",1,53,Commercial
venda jequié,140,18,0,"0,01",5610000,Commercial
venda jequié online,140,21,"0,18","0,1",238000,Commercial
venda lagartixa,140,13,0,"0,06",275000,Transactional
venda material de construção,140,16,"0,16","0,28",91200000,Commercial
venda milhas 123,140,38,"0,15","0,25",3010000,"Informational, Commercial"
venda moto usada,140,35,"0,09","0,31",94,Commercial
venda motos df,140,21,"0,04","0,31",90,Commercial
venda notebook,140,43,"0,23",1,26900000,Commercial
venda nova do imigrante hotel,140,17,"0,08","0,11",374000,"Informational, Transactional"
venda oliveira,140,24,0,"0,09",99,Transactional
venda online shopee,140,32,"0,34","0,66",1520000,"Informational, Transactional"
venda pack,140,23,"0,05","0,32",36900000,"Informational, Commercial"
venda para sexo,140,8,"0,06","0,22",41800000,Commercial
venda por link de pagamento,140,35,"2,89","0,66",33700000,"Informational, Commercial"
venda precatorios federais,140,4,"0,24","0,48",6000000,Commercial
venda ps4,140,33,"0,04","0,96",91,Commercial
venda relogio,140,50,"0,47","0,89",49300000,Commercial
venda relogios,140,33,"0,47","0,89",42200000,Commercial
venda roupas,140,49,"0,22","0,62",161000000,Commercial
venda sala comercial,140,27,"0,15","0,53",33300000,Commercial
venda seu iphone,140,15,"0,1",1,29400000,Commercial
venda shih tzu,140,25,"0,05","0,29",74,Commercial
venda tenis nike,140,37,"0,14",1,97,Commercial
venda todo santo dia download,140,8,"2,4","0,13",4080000,Commercial
venda velha são joão de meriti - rj,140,30,0,0,5110000,"Informational, Transactional"
venda vestido de noiva,140,19,"0,12",1,5660000,Commercial
venda vinhos online,140,42,"0,64",1,7540000,Commercial
venda-se,140,22,"0,18","0,45",918000000,"Informational, Transactional"
vendas a prazo,140,15,"0,58","0,05",63200000,Commercial
vendas alagoinhas,140,24,"0,04","0,28",810000,Transactional
vendas amil,140,14,"0,4","0,2",951000,"Navigational, Transactional"
vendas claro net,140,75,"7,12","0,53",97,Commercial
vendas de apartamento,140,47,"0,3","0,54",89,Commercial
vendas de armas,140,36,0,0,8330000,"Informational, Commercial"
vendas de carros em bh,140,39,"0,5","0,6",4790000,Commercial
vendas de carros em joinville,140,18,"0,22","0,55",9660000,Commercial
vendas de carros na promissória,140,33,"0,24","0,57",65,Commercial
vendas de carros usados na olx volta redonda hoje,140,27,"0,06","0,26",44,"Navigational, Transactional"
vendas de cavalos,140,22,"0,02","0,32",94,Commercial
vendas de consorcios,140,15,"0,44","0,55",28800000,Commercial
vendas de doces,140,26,"0,39","0,45",13400000,Commercial
vendas de empresas,140,26,"0,24","0,59",151000000,Commercial
vendas de energia solar,140,15,"0,54","0,88",10200000,Commercial
vendas de ferragens,140,16,"0,21","0,45",13600000,Commercial
vendas de lotes,140,25,"0,24","0,33",8540000,Commercial
vendas de microondas,140,33,"0,07",1,87,Commercial
vendas de microondas usados,140,29,"0,04",1,65,Commercial
vendas de milhas smiles,140,40,"0,22","0,43",82,Commercial
vendas de moedas,140,25,"0,03","0,99",6770000,Commercial
vendas de máquina,140,21,"0,24","0,53",223000000,Commercial
vendas de máquinas agrícolas,140,32,"0,22","0,59",22000000,Commercial
vendas de notebook,140,54,"0,44",1,18200000,Commercial
vendas de orquídeas,140,17,"0,05","0,94",456000,Commercial
vendas de ouro,140,33,"0,14","0,99",30700000,Commercial
vendas de passagens aereas,140,74,"0,52","0,59",15300000,Commercial
vendas de passagens de onibus,140,67,"0,16","0,49",20100000,Commercial
vendas de pecas de maquina de lavar,140,11,"0,13","0,55",496000,Transactional
vendas de pedras naturais,140,24,"0,12",1,7160000,Commercial
vendas de peças automotivas,140,45,"0,18","0,32",8170000,Commercial
vendas de piscinas,140,26,"0,16","0,97",8140000,Commercial
vendas de pontos,140,46,"0,19","0,37",57600000,"Informational, Commercial"
vendas de sofá usado,140,30,"0,06","0,96",75,Commercial
vendas de tablets,140,29,"0,08",1,80200000,Commercial
vendas de tratores usados,140,21,"0,08","0,55",94,Commercial
vendas de usados,140,29,"0,1","0,35",47100000,Commercial
vendas diretas caixa,140,46,"0,24","0,03",1660000,"Informational, Transactional"
vendas e negócios concurso pdf,140,11,0,"0,07",4400000,"Informational, Commercial"
vendas e trocas guanambi,140,25,0,0,34,Commercial
vendas figurinhas copa 2022,140,23,0,1,1540000,Transactional
vendas frases motivacionais,140,22,0,0,501000,"Informational, Commercial"
vendas ituran,140,28,"0,5","0,45",88,"Informational, Transactional"
vendas jequié,140,21,0,"0,01",284000,Commercial
vendas latam,140,65,"0,42","0,37",5900000,"Navigational, Transactional"
vendas não ocorrem por acaso,140,17,"0,05","0,91",222000,"Informational, Transactional"
vendas online jequié,140,18,"0,18","0,07",94000,Commercial
vendas online magazine luiza,140,50,"0,55","0,53",17900000,"Informational, Transactional"
vendas pokemon go,140,19,"0,05","0,82",11400000,Transactional
vendas shopify,140,59,"0,47","0,12",1590000,"Navigational, Transactional"
vendas usados,140,35,"0,12","0,4",44600000,Commercial
vende atacado,140,46,"0,28","0,75",40900000,Commercial
vende açaí,140,11,"0,15","0,2",274000,Commercial
vende c pro,140,5,"0,68","0,1",206000000,Transactional
vende caminhão,140,31,"0,09","0,42",86,Commercial
vende e compra,140,36,"0,23","0,14",2230000000,Transactional
vende lá,140,31,"1,12","0,07",2140000000,Commercial
vende moedas,140,28,"0,1","0,63",45800000,Commercial
vende pneu,140,38,"0,36","0,98",46300000,Commercial
vende se bicicleta,140,29,"0,07","0,36",94,Commercial
vende se celular usado,140,20,"0,08","0,62",24000000,Transactional
vende se galinha caipira,140,22,0,"0,03",57,"Informational, Transactional"
vende se gasolina,140,17,0,0,38400000,"Informational, Transactional"
vende se geladeira usada,140,21,"0,05","0,34",60,Commercial
vende se imóvel,140,20,"0,3","0,56",16900000,"Informational, Transactional"
vende se porangaba,140,18,0,"0,12",61,Commercial
vende se shih tzu,140,16,"0,03","0,17",60,Commercial
vende se tudo menos a cada,140,25,0,0,674000000,"Informational, Transactional"
vende se tudo poços de caldas facebook,140,32,0,"0,02",45,"Navigational, Transactional"
vende sítio,140,21,"0,05","0,37",599000000,Commercial
vende tudo - mineiros,140,17,0,"0,01",97,Commercial
vende tudo barato botucatu,140,22,0,"0,02",97,Commercial
vende tudo botucatu carros,140,23,"0,08","0,13",36,Commercial
vende tudo em são manuel,140,18,0,0,68,Commercial
vende tudo mineiros,140,17,0,"0,01",98,Commercial
vende tudo piracicaba olx,140,29,0,0,18,"Navigational, Transactional"
vende tudo rio claro,140,26,0,"0,03",6580000,Commercial
vende tudo sao manuel,140,18,0,0,73,Commercial
vende tudo umuarama,140,18,0,0,76,Commercial
vende-la,140,32,"1,12","0,07",1150000000,Commercial
vende-se chácara em votuporanga particular,140,7,"0,04","0,27",28,Commercial
vende-se picolé,140,25,0,"0,36",67,"Informational, Transactional"
vendendo conta de free fire,140,21,"0,05","0,33",62,Commercial
vendendo livros,140,20,"0,13","0,47",262000000,Commercial
vendendo moto,140,39,"0,1","0,24",4970000,Commercial
vendendo ps4,140,36,"0,04","0,96",69,Commercial
vender aparelho auditivo usado,140,9,"0,46","0,96",2690000,Commercial
vender apartamento rapido,140,28,"0,84","0,63",13400000,Commercial
vender ar condicionado,140,20,"0,3","0,99",22800000,Commercial
vender cabelo curitiba,140,26,"0,12","0,35",584000,Commercial
vender coins,140,4,"0,11","0,29",13600000,Commercial
vender conta league of legends,140,23,"0,02","0,26",47,"Informational, Transactional"
vender criptomoedas,140,28,"1,27","0,55",3320000,Commercial
vender cruzados,140,30,"0,04","0,1",29900000,Commercial
vender dvds usados,140,15,"0,05","0,55",5010000,Commercial
vender eletronicos usados,140,7,"0,12","0,39",1080000,Commercial
vender esteira usada,140,25,"0,09","0,57",49,Commercial
vender ferro velho,140,24,"0,16","0,15",4370000,Commercial
vender figurinhas da copa 2022,140,21,"0,07","0,84",1170000,"Informational, Transactional"
vender filhotes de cachorro,140,9,"0,07","0,38",12800000,Commercial
vender fotos e vídeos,140,39,"0,08","0,59",147000000,"Informational, Commercial"
vender garrafas de vidro,140,29,"0,1","0,61",738000,Commercial
vender guarda chuva,140,20,"0,07",1,11000000,Commercial
vender imoveis,140,32,"0,42","0,51",24600000,Commercial
vender ingresso online,140,17,"0,35","0,59",1280000,Commercial
vender ipad usado,140,30,"0,08","0,57",93,Commercial
vender jogos usados,140,17,"0,05","0,43",11400000,Commercial
vender livro usado,140,16,"0,07","0,55",12800000,Commercial
vender magazine luiza online,140,40,"0,92","0,52",2170000,"Informational, Commercial"
vender mikhas,140,54,"0,2","0,38",1620000,Commercial
vender milhas cotação,140,44,"0,24","0,36",199000,Commercial
vender milhas receber na hora,140,28,"0,34","0,45",81,"Informational, Commercial"
vender milhas valor,140,30,"0,32","0,35",602000,Commercial
vender máquina de lavar,140,29,"0,13","0,89",65,Commercial
vender máquina de lavar quebrada sp,140,24,"0,14","0,21",55,Commercial
vender no carrefour,140,26,"2,05","0,19",10900000,"Navigational, Transactional"
vender nota de 1000 cruzeiros,140,7,"0,03","0,23",58,"Informational, Transactional"
vender notebook para retirada de peças,140,17,"0,12","0,31",66,Transactional
vender nuds,140,15,"0,02","0,14",1240000,Commercial
vender o voto é crime,140,28,0,0,2160000,Commercial
vender oleo de cozinha usado,140,10,"0,15","0,15",8160000,Commercial
vender oleo usado,140,5,"0,12","0,15",13200000,Commercial
vender ouro sp,140,7,"2,11","0,65",9500000,Commercial
vender papel para reciclagem,140,7,"0,14","0,22",2010000,Commercial
vender papel para reciclagem preço,140,4,"0,13","0,24",1740000,Commercial
vender produtos fisicos como afiliado,140,30,"0,5","0,7",71600,"Informational, Commercial"
vender produtos usados,140,24,"0,18","0,48",70900000,"Informational, Commercial"
vender ticket,140,34,"0,35","0,02",15300000,Commercial
vender usados,140,23,"0,12","0,4",109000000,"Informational, Commercial"
vender vestido de festa usado sp,140,13,"0,09","0,48",99,Commercial
vender voto,140,35,0,0,54500000,Commercial
vender votos,140,37,0,0,87900000,Commercial
vendi meu imóvel posso usar o fgts para comprar outro,140,12,"0,09","0,05",78,"Informational, Transactional"
vendo apartamento 2 quartos jardim oceânico,140,17,"0,1","0,56",76,Commercial
vendo apartamento campinas urgente,140,16,"0,17","0,65",45,Commercial
vendo apartamento urgente sp zona sul,140,17,"0,28","0,66",48,Commercial
vendo ar condicionado,140,34,"0,3","0,99",43,Transactional
vendo bebe,140,26,0,"0,07",99,"Informational, Transactional"
vendo bota ortopédica usada,140,25,"0,05",1,56,Commercial
vendo calopsita,140,18,"0,04","0,13",53,Commercial
vendo carreta baú urgente,140,10,"0,04","0,23",42,Transactional
vendo carretinha usada olx belo horizonte mg,140,28,0,"0,07",24,"Navigational, Transactional"
vendo carro antigo,140,25,"0,13","0,44",7480000,Commercial
vendo celular usado,140,28,"0,07","0,94",8910000,Commercial
vendo chapas de aço usadas,140,12,"0,16","0,46",97,"Informational, Transactional"
vendo consórcio contemplado,140,5,"0,42","0,62",1950000,Commercial
vendo diamante,140,15,"0,53","0,89",23900000,Commercial
vendo disco de vinil,140,27,"0,04","0,9",14600000,Commercial
vendo fração gramado parks,140,13,"0,22","0,44",69,Commercial
vendo info cc,140,19,0,"0,01",86,"Informational, Transactional"
vendo ingresso rock in rio 2022,140,15,0,0,15900000,Commercial
vendo iphone 8 plus,140,25,"0,04",1,50,Transactional
vendo jesus aparecer,140,7,0,0,85,"Informational, Transactional"
vendo jet ski,140,20,"0,06","0,38",60,Commercial
vendo mesa de jantar,140,25,"0,1",1,75,Commercial
vendo mesquita,140,20,0,0,98,Commercial
vendo meu usado peabiru,140,14,"0,18","0,02",7430,Commercial
vendo minha irma,140,29,0,0,70,"Informational, Transactional"
vendo máquina de lavar usada,140,25,"0,09","0,25",54,Transactional
vendo papagaio,140,6,"0,02","0,21",86,Commercial
vendo relogio,140,25,"0,47","0,89",92,Transactional
vendo skunk,140,9,0,0,90,Commercial
vendo terreno em mairiporã urgente,140,17,"0,07","0,57",41,Commercial
vendo terreno urgente sorocaba olx,140,29,"0,07","0,43",21,"Navigational, Transactional"
vendo terreno urgente ubatuba,140,17,"0,04","0,52",52,Commercial
vendo terrenos,140,33,"0,17","0,27",93,Commercial
vendo urgente apartamento balneário camboriú olx,140,28,"0,17","0,6",30,"Navigational, Transactional"
vendo vender,140,27,0,"0,03",878000000,Commercial
vendo vendo,140,32,0,"0,03",516000000,"Informational, Transactional"
vendo zafira urgente,140,21,"0,04","0,35",52,Commercial
vendo óleo de cozinha usado,140,16,"0,15","0,15",6180000,Commercial
ventilador a venda,140,24,"0,05",1,87,Commercial
ver animais a venda em viamão olx,140,29,0,"0,02",35,"Navigational, Transactional"
ver carros a venda na olx,140,35,"0,08","0,31",24,"Navigational, Transactional"
ver lona encerada usada a venda,140,22,"0,15",1,45,"Informational, Transactional"
versa a venda em curitiba,140,16,"0,05","0,51",90,Commercial
vestido de festa para vender,140,21,"0,09",1,6860000,Commercial
vestido de noiva para vender,140,20,"0,1",1,1080000,Commercial
vestido de noiva venda,140,25,"0,11",1,4260000,Commercial
veículo vendido antes da penhora,140,18,0,0,83,"Informational, Commercial"
veículos a venda,140,72,"0,11","0,42",64000000,Commercial
viação 1001 venda de onibus usado,140,5,"0,02","0,14",38,"Informational, Commercial"
viação catarinense venda de ônibus usados,140,13,"0,03","0,18",69,Commercial
vidraçaria venda nova,140,8,"0,14","0,28",91,Commercial
vinagre de maçã vendido em farmacia,140,17,0,1,69,Commercial
vinhos chilenos mais vendidos,140,7,"0,15",1,26300,Commercial
violão a venda olx,140,29,"0,02","0,98",33,"Navigational, Transactional"
violão usado para venda,140,25,"0,02",1,74,Transactional
virago 535 a venda,140,21,"0,02","0,13",50,Commercial
virtus a venda no es,140,19,"0,06","0,16",63,Commercial
virtus a venda no rs,140,20,"0,05","0,27",69,Commercial
vitara a venda em bh,140,19,"0,04","0,35",48,Commercial
volare 4x4 a venda olx,140,28,"0,01","0,11",47,"Navigational, Transactional"
volume de vendas,140,15,"0,21","0,03",24800000,"Informational, Commercial"
volvo 460 a venda,140,10,"0,08","0,39",75,Commercial
volvo a venda em bh,140,19,"0,1","0,22",96,Commercial
volvo a venda em curitiba,140,17,"0,1","0,42",99,Commercial
volvo fh 440 a venda olx,140,28,"0,02","0,25",44,"Navigational, Transactional"
volvo fh 460 a venda olx,140,28,"0,02","0,32",42,Transactional
vou vender a fazenda,140,18,0,0,3890000,"Informational, Transactional"
voyage a venda em blumenau,140,15,"0,04","0,19",51,Commercial
voyage a venda em sp,140,15,"0,04","0,33",61,Commercial
walk machine a venda,140,25,"0,02","0,99",52,Commercial
whey protein mais vendido,140,21,"0,11",1,4800000,Commercial
x terra a venda,140,15,"0,02","0,22",81,Commercial
xiaomi mais vendidos 2022,140,36,"0,02",1,95,Commercial
xr 200 a venda no rs,140,21,0,"0,04",48,Commercial
xre a venda em bh,140,20,"0,02","0,12",72,Commercial
yacht a venda,140,9,"0,06","0,31",16400000,Transactional
yaris a venda,140,15,"0,07","0,39",89,Commercial
yorkshire a venda,140,29,"0,05","0,39",67,Transactional
zafira a venda em bh,140,19,"0,04","0,22",65,Commercial
zafira à venda em são paulo,140,16,"0,11","0,15",53,Transactional
zap imoveis rj venda,140,30,"0,25","0,46",64,"Navigational, Transactional"
ziggy sabores mais vendidos,140,9,0,0,58,"Informational, Commercial"
álcool isopropílico onde vende,140,27,"0,14","0,94",518000,Commercial
éguas a venda olx,140,29,"0,02","0,06",37,"Navigational, Transactional"
óleo de alecrim vende em farmácia,140,17,"0,05",1,81,Transactional
órgão usado para venda,140,22,"0,03","0,77",4680000,Commercial
órgão usado para vender,140,23,"0,03","0,77",1100000,Commercial
óticas em venda nova,140,23,"0,17","0,33",712000,Commercial
ônibus a venda em minas gerais olx,140,29,"0,01","0,09",50,"Navigational, Transactional"
ônibus a venda em pernambuco,140,9,"0,03","0,13",81,Transactional
ônibus antigo a venda,140,28,"0,01","0,15",10100000,"Informational, Transactional"
ônibus flecha azul a venda olx,140,29,"0,01","0,05",29,"Navigational, Transactional"
ônibus usado a venda,140,11,"0,02","0,33",11200000,Commercial
ônibus velhos baratos a venda são paulo sp,140,9,"0,02","0,16",93,Transactional
ônibus à venda no mercadolivre,140,32,"0,01","0,1",44,Transactional
1113 a venda olx mg,110,28,"0,01","0,1",42,"Navigational, Transactional"
113 a venda no rs,110,8,"0,02","0,29",73,Commercial
113 scania a venda,110,11,"0,03","0,24",69,Commercial
1316 a venda,110,9,"0,03","0,2",73,Commercial
13180 a venda,110,12,"0,05","0,25",67,Transactional
160 a venda,110,22,"0,04","0,27",52,Commercial
1630 a venda,110,10,"0,03","0,15",81,Commercial
1634 6x2 a venda,110,9,"0,03","0,25",48,Commercial
2010 à venda,110,21,"0,04","0,15",41,Transactional
2217 a venda olx,110,29,0,"0,01",42,"Navigational, Transactional"
24220 a venda,110,5,"0,04","0,22",58,Commercial
24250 a venda em mg,110,12,"0,05","0,36",42,Commercial
2644 a venda,110,9,"0,03","0,26",82,Commercial
3344 a venda,110,10,"0,05","0,3",90,Commercial
360 slim vende em farmácia,110,19,"0,3",1,39,Commercial
4 eixo direcional usado a venda,110,8,"0,04","0,18",51,Commercial
608 a venda em goiânia olx,110,28,"0,04","0,07",37,Transactional
608 a venda em sc,110,8,"0,03","0,25",68,Commercial
608 a venda em sc olx,110,28,"0,03","0,11",49,"Navigational, Transactional"
608 à venda em minas gerais,110,10,"0,03","0,2",74,Transactional
708 a venda,110,10,"0,02","0,16",83,Commercial
710 a venda curitiba,110,9,"0,02","0,21",75,Commercial
710 a venda na bahia olx,110,28,0,"0,03",53,"Navigational, Transactional"
710 a venda rs,110,8,"0,02","0,19",76,Commercial
710 à venda,110,12,"0,02","0,24",81,Transactional
9 eixo curto à venda olx,110,28,0,"0,16",46,Transactional
a máquina definitiva de vendas,110,16,"0,54","0,13",908000,"Informational, Transactional"
academia de vendas my broker,110,19,"0,14","0,06",46,Commercial
academia de vendas v,110,17,"0,27","0,04",10200000,"Informational, Commercial"
academia em venda nova,110,21,"0,21","0,29",25300000,Commercial
acessorios mais vendidos,110,26,"0,04","0,54",57300000,Commercial
acessórios eletrônicos mais vendidos,110,27,"0,04","0,76",25100000,Commercial
acetona pura vende em farmacia,110,20,"0,07",1,303000,Transactional
acompanhantes venda nova bh,110,11,0,0,65,"Informational, Commercial"
acordeons usados a venda em sorocaba olx,110,30,0,"0,14",24,"Navigational, Transactional"
adamo a venda,110,9,"0,03","0,19",86,Commercial
adesivo venda veículo,110,1,"0,1",1,738000,"Informational, Transactional"
adm.force/vendas,110,37,"0,6","0,08",67,Commercial
aeronaves à venda,110,26,"0,05","0,53",17300000,Transactional
africa twin a venda,110,17,"0,35","0,28",81,Commercial
agencia de promotor de vendas,110,11,"0,25","0,46",397000,Commercial
